id,description,date,number,lat,lng,count
359,SCHOOL VISIT ,1/18/19,230,42.463211,-83.490985,1
360,SCHOOL VISIT ,1/18/19,291,42.450681,-83.504154,1
361,SCHOOL VISIT ,1/18/19,230,42.461427,-83.446007,1
362,SCHOOL VISIT ,1/18/19,230,42.465061,-83.461523,1
363,SCHOOL VISIT ,1/19/19,291,42.450681,-83.504154,1
364,SCHOOL VISIT ,1/20/19,291,42.468959,-83.522221,1
365,SCHOOL VISIT ,1/21/19,253,42.484082,-83.457421,1
366,SCHOOL VISIT ,1/22/19,217,42.512892,-83.449649,1
367,SCHOOL VISIT ,1/22/19,253,42.461427,-83.446007,1
368,SCHOOL VISIT ,1/22/19,217,42.508257,-83.454752,1
369,SCHOOL VISIT ,1/22/19,245,42.465061,-83.461523,1
370,SCHOOL VISIT ,1/23/19,291,42.450681,-83.504154,1
371,SCHOOL VISIT ,1/23/19,291,42.463211,-83.490985,1
372,SCHOOL VISIT ,1/24/19,266,42.468959,-83.522221,1
373,SCHOOL VISIT ,1/24/19,244,42.465061,-83.461523,1
374,SCHOOL VISIT ,1/24/19,216,42.521202,-83.469492,1
375,SCHOOL VISIT ,1/24/19,244,42.461427,-83.446007,1
376,SCHOOL VISIT ,1/24/19,230,42.461427,-83.446007,1
377,SCHOOL VISIT ,1/25/19,295,42.486569,-83.535075,1
378,SCHOOL VISIT ,1/25/19,297,42.486569,-83.535075,1
379,SCHOOL VISIT ,1/25/19,217,42.521202,-83.469492,1
380,SCHOOL VISIT ,1/25/19,217,42.508257,-83.454752,1
381,SCHOOL VISIT ,1/25/19,295,42.47843,-83.495453,1
382,SCHOOL VISIT ,1/25/19,217,42.512892,-83.449649,1
383,SCHOOL VISIT ,1/25/19,295,42.493266,-83.528514,1
384,SCHOOL VISIT ,1/25/19,217,42.468959,-83.522221,1
385,SCHOOL VISIT ,1/25/19,256,42.463211,-83.490985,1
386,SCHOOL VISIT ,1/27/19,279,42.512892,-83.449649,1
387,SCHOOL VISIT ,1/29/19,244,42.461427,-83.446007,1
388,SCHOOL VISIT ,2/13/19,295,42.468959,-83.522221,1
389,SCHOOL VISIT ,2/13/19,285,42.468959,-83.522221,1
390,SCHOOL VISIT ,2/14/19,295,42.450681,-83.504154,1
391,SCHOOL VISIT ,2/15/19,221,42.508257,-83.454752,1
392,SCHOOL VISIT ,2/15/19,216,42.521202,-83.469492,1
393,SCHOOL VISIT ,2/20/19,230,42.461427,-83.446007,1
394,SCHOOL VISIT ,2/20/19,244,42.465061,-83.461523,1
395,SCHOOL VISIT ,2/21/19,266,42.468959,-83.522221,1
396,SCHOOL VISIT ,2/22/19,285,42.450681,-83.504154,1
397,SCHOOL VISIT ,2/22/19,295,42.479326,-83.495504,1
